id, plate, brand, type, model, year, color, status
1,ΙΚΥ1234,Toyota,Corolla,Sedan,2019,Ασημί,Διαθέσιμο
2,ΝΒΡ5678,Honda,Civic,Hatchback,2020,Μπλε,Διαθέσιμο
3,ΡΤΛ9012,Ford,Focus,SUV,2021,Μαύρο,Διαθέσιμο
4,ΧΖΑ3456,Volkswagen,Passat,Sedan,2018,Λευκό,Διαθέσιμο
5,ΕΜΚ7890,Nissan,Qashqai,Crossover,2022,Κόκκινο,Διαθέσιμο
6,ΑΘΕ4567,BMW,X3,SUV,2020,Γκρι,Διαθέσιμο
7,ΚΟΠ1122,Peugeot,308,Hatchback,2019,Μπλε,Διαθέσιμο
8,ΜΝΔ3344,Mercedes,C-Class,Sedan,2021,Μαύρο,Διαθέσιμο
9,ΠΛΩ5566,Hyundai,Tucson,SUV,2022,Λευκό,Διαθέσιμο
10,ΖΗΞ7788,Kia,Sportage,Crossover,2023,Ασημί,Διαθέσιμο
11,ΘΡΕ8899,Renault,Megane,Hatchback,2018,Κόκκινο,Διαθέσιμο
12,ΣΔΦ2233,Skoda,Kodiaq,SUV,2021,Γκρι,Διαθέσιμο
13,ΑΒΓ3344,Fiat,Punto,Compact,2017,Μπλε,Διαθέσιμο
14,ΔΕΖ4455,Audi,A4,Sedan,2022,Μαύρο,Διαθέσιμο
15,ΗΘΙ5566,Opel,Astra,Hatchback,2020,Ασημί,Διαθέσιμο
16,ΚΛΜ6677,Seat,Ateca,SUV,2021,Πράσινο,Διαθέσιμο
17,ΝΞΟ7788,Volvo,S60,Sedan,2019,Λευκό,Διαθέσιμο
18,ΠΡΣ8899,Mazda,CX-5,Crossover,2022,Κόκκινο,Διαθέσιμο
19,ΤΥΦ9900,Subaru,Forester,SUV,2023,Γκρι,Διαθέσιμο
20,ΧΨΩ1122,Mini,Cooper,Hatchback,2018,Κίτρινο,Διαθέσιμο
21,ΑΑΑ1234,Toyota,Yaris,Hatchback,2020,Λευκό,Διαθέσιμο
22,ΒΒΒ2345,Ford,Mondeo,Sedan,2019,Μπλε,Διαθέσιμο
23,ΓΓΓ3456,Peugeot,3008,SUV,2022,Μαύρο,Διαθέσιμο
24,ΔΔΔ4567,Volkswagen,Golf,Hatchback,2021,Κόκκινο,Διαθέσιμο
25,ΕΕΕ5678,Hyundai,Elantra,Sedan,2020,Γκρι,Διαθέσιμο
26,ΖΖΖ6789,BMW,Series 2,Coupe,2023,Ασημί,Διαθέσιμο
27,ΗΗΗ7890,Audi,Q5,SUV,2021,Λευκό,Διαθέσιμο
28,ΘΘΘ8901,Kia,Rio,Hatchback,2018,Κόκκινο,Διαθέσιμο
29,ΙΙΙ9012,Mercedes,GLA,SUV,2022,Μπλε,Διαθέσιμο
30,ΚΚΚ0123,Nissan,Altima,Sedan,2019,Γκρι,Διαθέσιμο
31,ΛΛΛ1234,Renault,Kadjar,SUV,2021,Μαύρο,Διαθέσιμο
32,ΜΜΜ2345,Skoda,Fabia,Hatchback,2018,Λευκό,Διαθέσιμο
33,ΝΝΝ3456,Opel,Insignia,Sedan,2020,Ασημί,Διαθέσιμο
34,ΞΞΞ4567,Honda,HR-V,Crossover,2022,Πράσινο,Διαθέσιμο
35,ΟΟΟ5678,Ford,Fiesta,Hatchback,2017,Μπλε,Διαθέσιμο
36,ΠΠΠ6789,Volkswagen,T-Roc,SUV,2021,Κόκκινο,Διαθέσιμο
37,ΡΡΡ7890,Seat,Leon,Sedan,2020,Μαύρο,Διαθέσιμο
38,ΣΣΣ8901,Hyundai,Kona,Crossover,2023,Λευκό,Διαθέσιμο
39,ΤΤΤ9012,Peugeot,5008,SUV,2022,Ασημί,Διαθέσιμο
40,ΥΥΥ0123,Volvo,XC40,Crossover,2021,Μπλε,Διαθέσιμο
41,ΦΦΦ1234,Toyota,RAV4,SUV,2022,Κόκκινο,Διαθέσιμο
42,ΧΧΧ2345,Mercedes,E-Class,Sedan,2021,Μαύρο,Διαθέσιμο
43,ΨΨΨ3456,Kia,Ceed,Hatchback,2019,Πράσινο,Διαθέσιμο
44,ΩΩΩ4567,Renault,Talisman,Sedan,2020,Λευκό,Διαθέσιμο
45,ΑΒΓ5678,Skoda,Karoq,SUV,2023,Γκρι,Διαθέσιμο
46,ΒΓΔ6789,Opel,Corsa,Hatchback,2018,Μπλε,Διαθέσιμο
47,ΓΔΕ7890,BMW,Series 3,Sedan,2022,Ασημί,Διαθέσιμο
48,ΔΕΖ8901,Ford,Kuga,SUV,2021,Μαύρο,Διαθέσιμο
49,ΕΖΗ9012,Peugeot,2008,Crossover,2023,Κόκκινο,Διαθέσιμο
50,ΖΗΘ0123,Audi,A3,Hatchback,2020,Λευκό,Διαθέσιμο
de7aad27-c312-48b3-b247-efc87b32da36,htrhjj5,hy46yj,ytj6uj,hnyujm,23515,tyju6,Διαθέσιμο
1837cd9c-b188-4c2d-bf5c-327a85978381,hfdx,hfxd,gsx,gxd,543,feds,Διαθέσιμο
873b3b6c-5496-4631-98c8-b9b245e1e489,gs,sgf,sg,fs,356,da,Διαθέσιμο
